發生時間,發生地點,postcode,死亡受傷人數,車種,經度,緯度
108年07月09日 00時15分00秒,臺北市文山區指南路3段40巷前0.0公尺,116,死亡0;受傷1,自用-小客車,121.59857099999999,24.968814000000002
108年07月09日 01時00分00秒,臺北市大安區安和路2段 / 臺北市大安區安和路2段,106,死亡0;受傷1,自用-小客車;計程車-小客車,121.552489,25.030918
108年07月09日 02時37分00秒,臺北市中山區北安路前0.0公尺,104,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),121.55596000000001,25.084648
108年07月09日 04時15分00秒,臺北市大同區延平北路3段22-8號前0.0公尺,103,死亡0;受傷1,普通重型-機車,121.51110600000001,25.064047
108年07月09日 04時42分00秒,臺北市松山區光復北路11巷58號前0.0公尺,105,死亡0;受傷1,普通重型-機車,121.560175,25.049978
108年07月09日 07時20分00秒,臺北市北投區新興路 / 臺北市北投區重三路,112,死亡0;受傷1,普通重型-機車;普通重型-機車,121.488353,25.14033
108年07月09日 07時45分00秒,臺北市中正區博愛路 / 臺北市中正區長沙街1段,100,死亡0;受傷1,自用-小客車;普通重型-機車,121.504279,25.040135999999997
108年07月09日 08時13分00秒,臺北市萬華區桂林路101號前0.0公尺,108,死亡0;受傷4,普通重型-機車;普通重型-機車;租賃車-小客車;乘客-人;乘客-人,121.50107,25.038421
108年07月09日 08時39分00秒,臺北市萬華區艋舺大道前0.0公尺,108,死亡0;受傷1,普通重型-機車;自用-小客車,121.50052,25.033023
108年07月09日 08時40分00秒,臺北市內湖區內湖路3段 / 臺北市內湖區內湖路3段,114,死亡0;受傷1,自用-小客車;大型重型2(250-550C.C.)-機車;乘客-人;乘客-人,121.59148300000001,25.086478
108年07月09日 08時51分28秒,臺北市文山區國道3號 22公里100.0公尺處北側向內側,116,死亡0;受傷1,自用-小客車;自用-小客車;自用-小客車;自用-小客車;乘客-人,121.592863,24.991687
108年07月09日 09時10分00秒,臺北市信義區崇德街 / 臺北市信義區信安街,110,死亡0;受傷1,行人-人,121.555776,25.024017999999998
108年07月09日 09時40分00秒,臺北市萬華區華中橋機車道前0.0公尺,108,死亡0;受傷1,普通重型-機車;普通重型-機車;普通重型-機車,121.49538000000001,25.011235
108年07月09日 09時58分00秒,臺北市信義區光復南路457號前0.0公尺,110,死亡0;受傷1,普通重型-機車;計程車-小客車,121.55757,25.034328
108年07月09日 10時05分00秒,臺北市信義區基隆路1段 / 臺北市信義區基隆路1段,110,死亡0;受傷1,普通重型-機車,121.57041699999999,25.04798
108年07月09日 10時12分00秒,臺北市信義區福德街 / 臺北市信義區中坡南路,110,死亡0;受傷1,普通重型-機車,121.58410900000001,25.038408
108年07月09日 10時21分00秒,臺北市松山區健康路 / 臺北市松山區南京東路4段,105,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.555171,25.05353
108年07月09日 10時26分00秒,臺北市中山區興安街 / 臺北市中山區遼寧街,104,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.54214099999999,25.056082
108年07月09日 11時27分00秒,臺北市中山區新生北路3段 / 臺北市中山區中原街,104,死亡0;受傷2,普通重型-機車;普通重型-機車,121.528999,25.063157999999998
108年07月09日 11時36分00秒,臺北市松山區民生東路5段 / 臺北市松山區新東街,105,死亡0;受傷1,普通重型-機車;普通重型-機車,121.565941,25.059065
108年07月09日 11時40分00秒,臺北市內湖區內湖路1段 / 臺北市內湖區內湖路1段,114,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.56116899999999,25.084728
108年07月09日 11時49分00秒,臺北市松山區民生東路4段69號前0.0公尺,105,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),121.55113300000001,25.057971
108年07月09日 11時58分00秒,臺北市中正區市民大道3段前0.0公尺,100,死亡0;受傷1,租賃車-小客車;普通重型-機車,121.532196,25.045002
108年07月09日 12時00分00秒,臺北市內湖區新湖三路 / 臺北市內湖區舊宗路1段,114,死亡0;受傷2,普通重型-機車;普通重型-機車,121.57678200000001,25.063588
108年07月09日 12時13分00秒,臺北市大安區復興南路1段 / 臺北市大安區仁愛路4段,106,死亡0;受傷1,普通重型-機車;自用-小客車,121.54518999999999,25.039
108年07月09日 12時50分00秒,臺北市南港區中坡北路 / 臺北市南港區永吉路,115,死亡0;受傷1,租賃車-小客車;行人-人;自用-小貨車(含客、貨兩用),121.58076799999999,25.045427
108年07月09日 13時18分00秒,臺北市文山區木柵路1段47號前0.0公尺,116,死亡0;受傷1,普通輕型-機車,121.545294,24.987415
108年07月09日 13時23分00秒,臺北市文山區景華街 / 臺北市文山區景興路,116,死亡0;受傷1,自用-小客車;普通重型-機車,121.54379899999999,24.993629000000002
108年07月09日 13時49分00秒,臺北市中正區杭州南路1段 / 臺北市中正區杭州南路1段,100,死亡0;受傷1,普通重型-機車;計程車-小客車,121.524772,25.036498
108年07月09日 13時53分00秒,臺北市大安區瑞安街135巷4號前0.0公尺,106,死亡0;受傷2,普通重型-機車;普通重型-機車,121.54143300000001,25.026583
108年07月09日 14時15分00秒,臺北市萬華區華江橋機車道前0.0公尺,108,死亡0;受傷1,普通重型-機車;普通重型-機車;普通重型-機車,121.49301100000001,25.034088
108年07月09日 15時00分00秒,臺北市內湖區內湖路1段 / 臺北市內湖區內湖路1段,114,死亡0;受傷2,普通重型-機車;大型重型2(250-550C.C.)-機車,121.56267700000001,25.085095000000003
108年07月09日 15時20分00秒,臺北市萬華區萬大路 / 臺北市萬華區雙和街,108,死亡0;受傷1,普通重型-機車;普通重型-機車,121.500499,25.026326
108年07月09日 15時25分00秒,臺北市中正區牯嶺街 / 臺北市中正區福州街,100,死亡0;受傷1,自用-小客車;行人-人,121.517721,25.028275
108年07月09日 15時26分00秒,臺北市中山區民族西路前0.0公尺,104,死亡0;受傷2,租賃車-小客車;計程車-小客車;乘客-人,121.52013600000001,25.068521
108年07月09日 15時45分00秒,臺北市內湖區民權東路6段 / 臺北市內湖區民權東路6段,114,死亡0;受傷1,自用-小貨車(含客、貨兩用);行人-人,121.58599,25.069004
108年07月09日 15時50分00秒,臺北市中正區林森南路 / 臺北市中正區濟南路1段,100,死亡0;受傷1,民營公車-大客車;自用-小客車;普通重型-機車;普通輕型-機車;普通重型-機車,121.522453,25.042524
108年07月09日 16時13分00秒,臺北市士林區德行東路 / 臺北市士林區忠義街,111,死亡0;受傷1,自用-小客車;普通重型-機車,121.53274499999999,25.109261
108年07月09日 16時18分00秒,臺北市內湖區成功路2段 / 臺北市內湖區成功路2段,114,死亡0;受傷1,自用-小客車;普通重型-機車,121.591392,25.066416
108年07月09日 16時46分00秒,臺北市中正區汀州路3段118號前0.0公尺,100,死亡0;受傷1,普通重型-機車;普通重型-機車,121.53346299999998,25.014121
108年07月09日 16時55分00秒,臺北市士林區中山北路6段 / 臺北市士林區士東路,111,死亡0;受傷1,普通重型-機車;普通重型-機車,121.527184,25.11009
108年07月09日 17時10分00秒,臺北市萬華區青年路174號前0.0公尺,108,死亡0;受傷1,自用-小客車;普通重型-機車;乘客-人;乘客-人,121.50418300000001,25.019954000000002
